Région,2019/2018,2020/2019
Asie-Pacifique,0.05,-0.84
Afrique,0.04,-0.74
Amériques,0.02,-0.68
Europe,0.04,-0.68
Moyen Orient,0.08,-0.73
Polynésie française,0.094,-0.67
