"id";"distance";"period";"nb_tourism";"french";"europe";"asia";"america";"pacific";"hub";"mois";"annee";"oct";"nov";"dec";"fev";"mar";"avr";"mai";"jui";"juil";"aou";"sep";"expedia";"tahiti_tourism";"french_bee";"united_airl";"Tx_change";"brent";"dist_oil";"name";"price";"tahiti";"lnb_tourism";"ldist_oil";"lprice"
"Mexique";6848;"10/2008";107;0;0;0;1;0;0;"10";"2008";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.4125;54.75;374928;"Mexique102008";46.72967;"PF";4.68213122712422;12.8344892865182;3.84437929484276
"Mexique";6848;"11/2008";89;0;0;0;1;0;0;"11";"2008";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1.275;41.82;286383.36;"Mexique112008";44.79015;"PF";4.49980967033027;12.5650866118221;3.80198824917542
"Mexique";6848;"12/2008";142;0;0;0;1;0;0;"12";"2008";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1.2711;30.99;212219.52;"Mexique122008";49.074;"PF";4.96284463025991;12.2653764896212;3.89332936298089
"Mexique";6848;"1/2009";32;0;0;0;1;0;0;"1";"2009";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.3967;33.9;232147.2;"Mexique12009";47.33208;"PF";3.49650756146648;12.355126932208;3.85718828970934
"Mexique";6848;"2/2009";45;0;0;0;1;0;0;"2";"2009";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1.2768;33.82;231599.36;"Mexique22009";43.50214;"PF";3.8286413964891;12.352764261292;3.77281013228688
"Mexique";6848;"3/2009";64;0;0;0;1;0;0;"3";"2009";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1.2626;35.92;245980.16;"Mexique32009";42.98235;"PF";4.17438726989564;12.4130061612556;3.76078956631342
"Mexique";6848;"4/2009";69;0;0;0;1;0;0;"4";"2009";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1.3247;38.56;264058.88;"Mexique42009";48.73273;"PF";4.24849524204936;12.4839273875639;3.88635087826997
"Mexique";6848;"5/2009";56;0;0;0;1;0;0;"5";"2009";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1.3228;42.46;290766.08;"Mexique52009";54.28533;"PF";4.04305126783455;12.5802743740967;3.99425402469269
"Mexique";6848;"6/2009";64;0;0;0;1;0;0;"6";"2009";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1.4124;48.96;335278.08;"Mexique62009";55.98266;"PF";4.17438726989564;12.7227155560256;4.02504199992876
"Mexique";6848;"7/2009";69;0;0;0;1;0;0;"7";"2009";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1.4035;46.08;315555.84;"Mexique72009";57.61328;"PF";4.24849524204936;12.6620909342092;4.05375309668355
"Mexique";6848;"8/2009";25;0;0;0;1;0;0;"8";"2009";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1.4268;50.82;348015.36;"Mexique82009";63.78062;"PF";3.25809653802148;12.7600018957136;4.15544938245031
"Mexique";6848;"9/2009";37;0;0;0;1;0;0;"9";"2009";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1.4331;46.49;318363.52;"Mexique92009";66.25021;"PF";3.63758615972639;12.6709491535241;4.19343863467263
"Mexique";6848;"10/2009";69;0;0;0;1;0;0;"10";"2009";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.4638;49.4;338291.2;"Mexique102009";68.33881;"PF";4.24849524204936;12.7316623420155;4.22447783360022
"Mexique";6848;"11/2009";83;0;0;0;1;0;0;"11";"2009";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1.4714;51.66;353767.68;"Mexique112009";69.58576;"PF";4.43081679884331;12.7763957054893;4.24255994870626
"Mexique";6848;"12/2009";132;0;0;0;1;0;0;"12";"2009";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1.5007;51.11;350001.28;"Mexique122009";73.12559;"PF";4.89034912822175;12.7656920906018;4.29217837389554
"Mexique";6848;"1/2010";45;0;0;0;1;0;0;"1";"2010";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.4326;53.52;366504.96;"Mexique12010";72.8908;"PF";3.8286413964891;12.8117673336416;4.28896243077634
"Mexique";6848;"2/2010";38;0;0;0;1;0;0;"2";"2010";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1.3863;54.3;371846.4;"Mexique22010";71.27594;"PF";3.66356164612965;12.8262361447615;4.26655882306673
"Mexique";6848;"3/2010";66;0;0;0;1;0;0;"3";"2010";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1.3625;58.43;400128.64;"Mexique32010";74.6531;"PF";4.20469261939097;12.8995413743879;4.31285205024956
"Mexique";6848;"4/2010";67;0;0;0;1;0;0;"4";"2010";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1.3512;63.4;434163.2;"Mexique42010";76.40137;"PF";4.21950770517611;12.9811757792648;4.33600062794887
"Mexique";6848;"5/2010";50;0;0;0;1;0;0;"5";"2010";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1.334;60.65;415331.2;"Mexique52010";72.01601;"PF";3.93182563272433;12.9368315532116;4.2768884554086
"Mexique";6848;"6/2010";32;0;0;0;1;0;0;"6";"2010";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1.2305;61.31;419850.88;"Mexique62010";72.84742;"PF";3.49650756146648;12.9476548795962;4.28836711677729
"Mexique";6848;"7/2010";49;0;0;0;1;0;0;"7";"2010";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1.2236;58.55;400950.4;"Mexique72010";73.17333;"PF";3.91202300542815;12.9015930078653;4.29283101031547
"Mexique";6848;"8/2010";43;0;0;0;1;0;0;"8";"2010";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1.3061;59.49;407387.52;"Mexique82010";73.34559;"PF";3.78418963391826;12.9175201490214;4.29518238008216
"Mexique";6848;"9/2010";48;0;0;0;1;0;0;"9";"2010";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1.2688;59.52;407592.96;"Mexique92010";75.00013;"PF";3.89182029811063;12.9180243083464;4.31748984686814
"Mexique";6848;"10/2010";112;0;0;0;1;0;0;"10";"2010";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.3632;59.68;408688.64;"Mexique102010";79.15661;"PF";4.72738781871234;12.9207088737171;4.37142829515844
"Mexique";6848;"11/2010";114;0;0;0;1;0;0;"11";"2010";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1.3964;62.39;427246.72;"Mexique112010";82.78461;"PF";4.74493212836325;12.9651169239443;4.41624217455011
"Mexique";6848;"12/2010";150;0;0;0;1;0;0;"12";"2010";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1.2987;69.45;475593.6;"Mexique122010";86.34671;"PF";5.01727983681492;13.0723189870219;4.45837070311408
"Mexique";6848;"1/2011";42;0;0;0;1;0;0;"1";"2011";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.3346;72.09;493672.32;"Mexique12011";86.39986;"PF";3.76120011569356;13.1096272562381;4.45898605543833
"Mexique";6848;"2/2011";70;0;0;0;1;0;0;"2";"2011";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1.3685;76.18;521680.64;"Mexique22011";84.63783;"PF";4.26267987704132;13.164810878872;4.43838132978511
"Mexique";6848;"3/2011";76;0;0;0;1;0;0;"3";"2011";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1.3803;81.76;559892.48;"Mexique32011";83.01102;"PF";4.34380542185368;13.235500044277;4.41897337006763
"Mexique";6848;"4/2011";109;0;0;0;1;0;0;"4";"2011";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1.4174;85.23;583655.04;"Mexique42011";84.63089;"PF";4.70048036579242;13.2770654023558;4.43829932999207
"Mexique";6848;"5/2011";316;0;0;0;1;0;0;"5";"2011";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1.4825;79.78;546333.44;"Mexique52011";80.8011;"PF";5.75890177387728;13.2109847642988;4.39199057929577
"Mexique";6848;"6/2011";91;0;0;0;1;0;0;"6";"2011";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1.4393;79.07;541471.36;"Mexique62011";80.56369;"PF";4.52178857704904;13.2020454539044;4.38904805173073
"Mexique";6848;"7/2011";63;0;0;0;1;0;0;"7";"2011";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1.4498;81.72;559618.56;"Mexique72011";82.17413;"PF";4.15888308335967;13.235010687771;4.40884053233269
"Mexique";6848;"8/2011";24;0;0;0;1;0;0;"8";"2011";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1.4359;76.75;525584;"Mexique82011";77.29416;"PF";3.2188758248682;13.1722653042889;4.34761840293339
"Mexique";6848;"9/2011";28;0;0;0;1;0;0;"9";"2011";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1.4377;80.65;552291.2;"Mexique92011";77.84732;"PF";3.36729582998647;13.2218307223928;4.35474947251083
"Mexique";6848;"10/2011";56;0;0;0;1;0;0;"10";"2011";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.3337;79.87;546949.76;"Mexique102011";78.71234;"PF";4.04305126783455;13.2121122307509;4.3657999410988
"Mexique";6848;"11/2011";72;0;0;0;1;0;0;"11";"2011";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1.3858;81.37;557221.76;"Mexique112011";82.73308;"PF";4.29045944114839;13.2307185725301;4.41561952205097
"Mexique";6848;"12/2011";86;0;0;0;1;0;0;"12";"2011";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1.3438;81.9;560851.2;"Mexique122011";83.66833;"PF";4.46590811865458;13.2372109086806;4.42686053074415
"Mexique";6848;"1/2012";58;0;0;0;1;0;0;"1";"2012";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.2937;86.08;589475.84;"Mexique12012";84.65701;"PF";4.07753744390572;13.2869890142351;4.43860791672754
"Mexique";6848;"2/2012";75;0;0;0;1;0;0;"2";"2012";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1.3083;90.54;620017.92;"Mexique22012";86.55894;"PF";4.33073334028633;13.3375036598294;4.46082556918216
"Mexique";6848;"3/2012";108;0;0;0;1;0;0;"3";"2012";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1.3326;94.64;648094.72;"Mexique32012";87.17275;"PF";4.69134788222914;13.3817921374917;4.46789178207663
"Mexique";6848;"4/2012";115;0;0;0;1;0;0;"4";"2012";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1.3358;91.53;626797.44;"Mexique42012";89.55636;"PF";4.75359019110636;13.3483787052183;4.49486814776034
"Mexique";6848;"5/2012";90;0;0;0;1;0;0;"5";"2012";0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1.3242;86.37;591461.76;"Mexique52012";87.323;"PF";4.51085950651685;13.2903523111138;4.46961388748186
"Mexique";6848;"6/2012";56;0;0;0;1;0;0;"6";"2012";0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1.2361;76.32;522639.36;"Mexique62012";86.88944;"PF";4.04305126783455;13.1666469449616;4.46463650589997
"Mexique";6848;"7/2012";132;0;0;0;1;0;0;"7";"2012";0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1.2671;84.03;575437.44;"Mexique72012";92.45589;"PF";4.89034912822175;13.2628857957617;4.52673166591731
"Mexique";6848;"8/2012";50;0;0;0;1;0;0;"8";"2012";0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1.2305;91.41;625975.68;"Mexique82012";92.10522;"PF";3.93182563272433;13.3470667994873;4.52293161917958
"Mexique";6848;"9/2012";53;0;0;0;1;0;0;"9";"2012";0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1.2567;88.1;603308.8;"Mexique92012";91.83785;"PF";3.98898404656427;13.3101844507637;4.52002452201849
"Mexique";6848;"10/2012";87;0;0;0;1;0;0;"10";"2012";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.286;86.3;590982.4;"Mexique102012";95.30203;"PF";4.47733681447821;13.289541515911;4.55705111158754
"Mexique";6848;"11/2012";110;0;0;0;1;0;0;"11";"2012";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1.296;85.58;586051.84;"Mexique112012";94.30559;"PF";4.70953020131233;13.2811635288102;4.54654046677962
"Mexique";6848;"12/2012";133;0;0;0;1;0;0;"12";"2012";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1.2986;83.67;572972.16;"Mexique122012";98.45547;"PF";4.89783979995091;13.2585924081291;4.58960436474025
"Mexique";6848;"1/2013";45;0;0;0;1;0;0;"1";"2013";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1.3195;85.04;582353.92;"Mexique12013";102.54;"PF";3.8286413964891;13.2748336518553;4.63025296635555
"Mexique";6848;"2/2013";35;0;0;0;1;0;0;"2";"2013";0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1.3577;87.23;597351.04;"Mexique22013";101.4859;"PF";3.58351893845611;13.3002602262667;4.61991987257593
"Mexique";6848;"3/2013";119;0;0;0;1;0;0;"3";"2013";0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1.3056;84.27;577080.96;"Mexique32013";99.01611;"PF";4.78749174278205;13.2657378476058;4.59528256416867
"Mexique";6848;"4/2013";65;0;0;0;1;0;0;"4";"2013";0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1.2814;78.98;540855.04;"Mexique42013";98.35485;"PF";4.18965474202643;13.2009065736801;4.58858185729484
"Mexique";6848;"5/2013";93;0;0;0;1;0;0;"5";"2013";0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;1.317;79.36;543457.28;"Mexique52013";94.40995;"PF";4.54329478227;13.2057063807982;4.54764647013937
"Mexique";6848;"6/2013";80;0;0;0;1;0;0;"6";"2013";0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;1.2984;78.19;535445.12;"Mexique62013";89.96861;"PF";4.39444915467244;13.190853679958;4.49946083171537
"Mexique";6848;"7/2013";106;0;0;0;1;0;0;"7";"2013";0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;1.3008;82.34;563864.32;"Mexique72013";92.22639;"PF";4.67282883446191;13.2425689341633;4.52424631520435
"Mexique";6848;"8/2013";33;0;0;0;1;0;0;"8";"2013";0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;1.3302;83.37;570917.76;"Mexique82013";94.35281;"PF";3.52636052461616;13.2550004502441;4.54704105409496
"Mexique";6848;"9/2013";41;0;0;0;1;0;0;"9";"2013";0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;1.3234;83.59;572424.32;"Mexique92013";93.19737;"PF";3.73766961828337;13.2576358135326;4.53471950240927
"Mexique";6848;"10/2013";67;0;0;0;1;0;0;"10";"2013";1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1.3529;80.28;549757.44;"Mexique102013";92.64047;"PF";4.21950770517611;13.2172324417497;4.52872608721423
"Mexique";6848;"11/2013";84;0;0;0;1;0;0;"11";"2013";0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1.3583;80.17;549004.16;"Mexique112013";92.87267;"PF";4.44265125649032;13.2158612978764;4.53122941524005
"Mexique";6848;"12/2013";116;0;0;0;1;0;0;"12";"2013";0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1.3589;80.79;553249.92;"Mexique122013";96.31076;"PF";4.76217393479776;13.2235651133132;4.56758004672635
"Mexique";6848;"1/2014";61;0;0;0;1;0;0;"1";"2014";0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1.3742;78.91;540375.68;"Mexique12014";95.04224;"PF";4.12713438504509;13.2000198803545;4.55432142436016
"Mexique";6848;"2/2014";73;0;0;0;1;0;0;"2";"2014";0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;1.3493;79.68;545648.64;"Mexique22014";91.11615;"PF";4.30406509320417;13.2097305310979;4.51213506627087
"Mexique";6848;"3/2014";94;0;0;0;1;0;0;"3";"2014";0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;1.3786;77.7;532089.6;"Mexique32014";89.1443;"PF";4.55387689160054;13.1845671751952;4.49025640508056
"Mexique";6848;"4/2014";159;0;0;0;1;0;0;"4";"2014";0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;1.3768;78.04;534417.92;"Mexique42014";92.47932;"PF";5.07517381523383;13.1889334335765;4.52698505195586
"Mexique";6848;"5/2014";67;0;0;0;1;0;0;"5";"2014";0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;1.3866;79.85;546812.8;"Mexique52014";95.04758;"PF";4.21950770517611;13.2118617924826;4.55437760832626
"Mexique";6848;"6/2014";44;0;0;0;1;0;0;"6";"2014";0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;1.3634;82.3;563590.4;"Mexique62014";97.13742;"PF";3.80666248977032;13.2420830255046;4.57612667696019
"Mexique";6848;"7/2014";97;0;0;0;1;0;0;"7";"2014";0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;1.3692;79;540992;"Mexique72014";99.99283;"PF";4.58496747867057;13.2011597702886;4.60509848341752
