idSujet;Sujet
a;Data.table vs DPLYR
b;SIG suite
c;Encodage UTF-8 et les autres
d;Shiny/Plotly
e;Dates et lubridate
f;modèles GLM
g;Tests unitaires en R
h;Julia
i;Notebooks Jupyter/RMD
